iter	Passed	Remaining
707	490361	202239
708	491043	201542
709	491726	200845
710	492417	200152
711	493113	199461
712	493796	198765
713	494479	198068
714	495153	197368
715	495832	196671
716	496512	195973
717	497204	195280
718	497898	194589
719	498598	193899
720	499257	193194
721	499918	192489
722	500611	191797
723	501272	191092
724	501946	190393
725	502621	189694
726	503302	188998
727	503967	188295
728	504637	187594
729	505296	186890
730	505989	186198
731	506652	185495
732	507344	184803
733	508044	184114
734	508747	183425
735	509450	182737
736	510138	182043
737	510809	181344
738	511489	180647
739	512150	179944
740	512829	179248
741	513495	178546
742	514204	177860
743	514898	177169
744	515568	176469
745	516248	175773
746	516988	175097
747	517726	174421
748	518440	173736
749	519112	173037
750	519779	172336
751	520448	171637
752	521114	170936
753	521793	170240
754	522478	169546
755	523145	168845
756	523808	168144
757	524485	167447
758	525145	166745
759	525839	166054
760	526534	165363
761	527192	164661
762	527849	163958
763	528520	163260
764	529202	162565
765	529872	161866
766	530532	161165
767	531201	160467
768	531900	159777
769	532577	159081
770	533243	158382
771	533932	157689
772	534597	156990
773	535266	156292
774	535934	155593
775	536610	154897
776	537279	154199
777	537970	153508
778	538660	152816
779	539332	152119
780	540014	151425
781	540675	150725
782	541380	150037
783	542067	149345
784	542737	148647
785	543431	147957
786	544121	147265
787	544798	146570
788	545493	145879
789	546177	145186
790	546849	144489
791	547543	143799
792	548231	143107
793	548893	142408
794	549573	141713
795	550243	141017
796	550922	140322
797	551587	139624
798	552280	138934
799	552940	138235
800	553607	137537
801	554285	136843
802	554948	136145
803	555640	135454
804	556320	134760
805	556981	134062
806	557680	133373
807	558348	132676
808	559017	131980
809	559721	131292
810	560391	130596
811	561057	129900
812	561741	129207
813	562421	128513
814	563088	127817
815	563768	127124
816	564427	126426
817	565092	125729
818	565768	125035
819	566433	124339
820	567109	123645
821	567807	122955
822	568475	122260
823	569143	121564
824	569828	120872
825	570490	120175
826	571198	119488
827	571890	118798
828	572563	118104
829	573235	117409
830	573916	116717
831	574585	116022
832	575260	115328
833	575965	114640
834	576643	113947
835	577344	113258
836	578017	112564
837	578682	111869
838	579348	111174
839	580030	110481
840	580720	109791
841	581415	109101
842	582086	108407
843	582750	107712
844	583423	107018
845	584102	106325
846	584788	105634
847	585455	104940
848	586147	104250
849	586814	103555
850	587475	102860
851	588160	102168
852	588827	101474
853	589490	100779
854	590160	100085
855	590828	99391
856	591513	98700
857	592185	98007
858	592869	97316
859	593533	96621
860	594217	95930
861	594901	95239
862	595568	94545
863	596228	93850
864	596906	93158
865	597589	92467
866	598265	91775
867	598959	91086
868	599653	90396
869	600312	89701
870	600977	89008
871	601649	88315
872	602342	87625
873	603040	86937
874	603740	86248
875	604439	85559
876	605132	84870
877	605793	84176
878	606454	83482
879	607145	82792
880	607808	82099
881	608487	81407
882	609162	80715
883	609838	80023
884	610499	79330
885	611166	78637
886	611855	77947
887	612535	77256
888	613215	76565
889	613905	75875
890	614583	75184
891	615242	74491
892	615951	73803
893	616649	73115
894	617322	72423
895	618002	71732
896	618665	71039
897	619359	70350
898	620053	69661
899	620737	68970
900	621395	68277
901	622056	67584
902	622751	66895
903	623441	66206
904	624121	65515
905	624796	64824
906	625456	64131
907	626129	63440
908	626803	62749
909	627462	62056
910	628157	61367
911	628842	60677
912	629516	59986
913	630211	59297
914	630925	58610
915	631587	57918
916	632285	57229
917	632969	56539
918	633631	55847
919	634320	55158
920	634987	54466
921	635695	53779
922	636380	53089
923	637068	52399
924	637760	51710
925	638456	51021
926	639150	50332
927	639811	49640
928	640502	48951
929	641168	48259
930	641848	47569
931	642523	46879
932	643184	46187
933	643862	45497
934	644537	44807
935	645205	44116
936	645878	43426
937	646537	42734
938	647235	42046
939	647903	41355
940	648577	40665
941	649240	39974
942	649901	39283
943	650568	38593
944	651232	37902
945	651897	37211
946	652574	36522
947	653270	35833
948	653953	35143
949	654659	34455
950	655387	33768
951	656135	33082
952	656833	32393
953	657495	31703
954	658174	31013
955	658879	30325
956	659558	29635
957	660231	28945
958	660919	28256
959	661585	27566
960	662265	26876
961	662958	26187
962	663618	25497
963	664288	24807
964	664980	24118
965	665668	23429
966	666399	22741
967	667081	22052
968	667774	21363
969	668465	20674
970	669163	19985
971	669835	19295
972	670529	18606
973	671198	17917
974	671873	17227
975	672558	16538
976	673253	15849
977	673938	15160
978	674610	14470
979	675281	13781
980	675953	13091
981	676651	12402
982	677328	11713
983	677989	11024
984	678660	10334
985	679336	9645
986	680007	8956
987	680690	8267
988	681370	7578
989	682043	6889
990	682729	6200
991	683399	5511
992	684061	4822
993	684745	4133
994	685425	3444
995	686094	2755
996	686789	2066
997	687479	1377
998	688177	688
999	688851	0
